Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.28,3.37,3.07,3.11,3.11,109100
2017-01-04,3.11,3.79,3.11,3.42,3.42,572500
2017-01-05,3.67,4.14,3.3,3.4,3.4,535800
2017-01-06,3.35,3.4,3.25,3.28,3.28,95500
2017-01-09,3.28,3.35,3.15,3.21,3.21,86000
2017-01-10,3.28,3.45,3.15,3.24,3.24,154600
2017-01-11,3.36,3.9,3.16,3.66,3.66,861600
2017-01-12,3.66,4.6,3.63,3.66,3.66,757800
2017-01-13,3.55,3.7,3.4,3.4,3.4,142400
2017-01-17,3.31,3.44,3.26,3.37,3.37,56500
2017-01-18,3.31,3.44,3.26,3.33,3.33,48700
2017-01-19,3.36,3.52,3.33,3.35,3.35,48300
2017-01-20,3.47,3.79,3.4,3.46,3.46,240300
2017-01-23,3.76,4.98,3.49,3.95,3.95,3856800
2017-01-24,3.99,4.19,3.46,3.52,3.52,647300
2017-01-25,3.53,3.65,3.52,3.59,3.59,151500
2017-01-26,3.6,3.65,3.52,3.55,3.55,111300
2017-01-27,3.55,4.37,3.55,4.02,4.02,1463500
2017-01-30,4.02,4.63,3.76,4.24,4.24,1643000
2017-01-31,4.16,4.7,4.05,4.27,4.27,910300
2017-02-01,4.75,5.33,4.25,4.35,4.35,2801100
2017-02-02,4.19,4.36,3.78,3.85,3.85,594600
2017-02-03,4.01,4.09,3.81,3.93,3.93,299900
2017-02-06,3.85,4.0,3.76,3.97,3.97,114500
2017-02-07,4.15,4.25,3.81,3.9,3.9,318500
2017-02-08,3.82,3.9,3.66,3.71,3.71,187400
2017-02-09,3.63,3.75,3.5,3.57,3.57,330300
2017-02-10,3.6,3.98,3.54,3.68,3.68,540100
2017-02-13,3.64,3.85,3.6,3.6,3.6,142400
2017-02-14,3.6,3.79,3.59,3.65,3.65,153400
2017-02-15,3.7,3.75,3.63,3.71,3.71,69700
2017-02-16,3.69,3.72,3.57,3.64,3.64,95800
2017-02-17,3.58,3.63,3.53,3.61,3.61,77100
2017-02-21,3.57,3.57,3.16,3.21,3.21,223800
2017-02-22,3.21,3.24,3.1,3.12,3.12,176100
2017-02-23,3.34,3.72,3.15,3.22,3.22,1127800
2017-02-24,3.26,3.27,2.82,2.98,2.98,265900
2017-02-27,2.96,3.1,2.95,3.07,3.07,82000
2017-02-28,3.03,3.06,2.92,3.01,3.01,71500
2017-03-01,3.23,3.49,2.95,3.03,3.03,691000
2017-03-02,3.03,3.32,3.0,3.11,3.11,298900
2017-03-03,3.17,3.32,3.11,3.25,3.25,174300
2017-03-06,3.23,3.25,3.11,3.24,3.24,45100
2017-03-07,3.22,3.23,2.76,2.76,2.76,136400
2017-03-08,2.98,3.13,2.76,3.1,3.1,105500
2017-03-09,3.07,3.21,2.86,3.04,3.04,76400
2017-03-10,3.0,3.05,2.91,2.95,2.95,37700
2017-03-13,2.98,3.11,2.94,2.94,2.94,64500
2017-03-14,2.95,3.09,2.81,2.84,2.84,82500
2017-03-15,2.93,2.93,2.7,2.71,2.71,78600
2017-03-16,2.69,2.91,2.68,2.78,2.78,95800
2017-03-17,2.73,2.85,2.7,2.7,2.7,41600
2017-03-20,2.8,2.8,2.65,2.65,2.65,50800
2017-03-21,2.73,2.73,2.6,2.67,2.67,42400
2017-03-22,2.61,2.72,2.56,2.57,2.57,40200
2017-03-23,2.59,2.6,2.46,2.6,2.6,62600
2017-03-24,2.57,2.57,2.37,2.45,2.45,80500
2017-03-27,2.47,3.45,2.46,2.72,2.72,939500
2017-03-28,2.75,2.77,2.51,2.59,2.59,166600
2017-03-29,2.7,2.72,2.5,2.66,2.66,51400
2017-03-30,2.64,2.94,2.59,2.85,2.85,250300
2017-03-31,2.85,3.09,2.66,2.83,2.83,335000
2017-04-03,3.1,3.1,2.67,2.76,2.76,122800
2017-04-04,2.74,2.9,2.63,2.76,2.76,31300
2017-04-05,2.74,2.79,2.62,2.74,2.74,39800
2017-04-06,2.72,2.84,2.62,2.75,2.75,27400
2017-04-07,2.63,2.84,2.63,2.74,2.74,52700
2017-04-10,2.76,2.76,2.64,2.71,2.71,16800
2017-04-11,2.65,2.8,2.63,2.71,2.71,34700
2017-04-12,2.74,2.74,2.65,2.66,2.66,10500
2017-04-13,2.67,2.7,2.66,2.7,2.7,21700
2017-04-17,2.81,2.81,2.6,2.61,2.61,20000
2017-04-18,2.68,2.68,2.51,2.61,2.61,50100
2017-04-19,2.58,2.74,2.58,2.71,2.71,82200
2017-04-20,2.65,3.37,2.63,3.27,3.27,1054800
2017-04-21,2.93,3.25,2.81,2.95,2.95,405100
2017-04-24,2.96,2.96,2.68,2.85,2.85,69200
2017-04-25,2.83,2.84,2.68,2.71,2.71,59700
2017-04-26,2.79,2.79,2.6,2.65,2.65,19800
2017-04-27,2.65,2.88,2.65,2.66,2.66,55700
2017-04-28,2.75,2.81,2.64,2.65,2.65,23700
2017-05-01,2.64,2.71,2.58,2.62,2.62,38200
2017-05-02,2.69,2.72,2.58,2.63,2.63,20900
2017-05-03,2.74,2.74,2.55,2.62,2.62,45300
2017-05-04,2.57,2.6,2.34,2.4,2.4,93100
2017-05-05,2.47,2.5,2.21,2.28,2.28,69100
2017-05-08,2.25,2.35,2.25,2.27,2.27,16800
2017-05-09,2.27,2.65,2.2,2.33,2.33,86100
2017-05-10,2.32,2.41,2.23,2.31,2.31,35900
2017-05-11,2.31,2.48,2.27,2.43,2.43,93100
2017-05-12,2.41,2.75,2.41,2.53,2.53,216300
2017-05-15,2.61,2.64,2.42,2.5,2.5,32400
2017-05-16,2.48,2.53,2.23,2.23,2.23,32400
2017-05-17,2.43,2.62,2.35,2.41,2.41,110500
2017-05-18,2.32,2.5,2.3,2.49,2.49,43300
2017-05-19,2.51,2.51,2.41,2.45,2.45,16100
2017-05-22,2.51,2.55,2.38,2.45,2.45,19300
2017-05-23,4.4,4.9,3.65,3.81,3.81,27482300
2017-05-24,3.95,4.08,2.8,2.92,2.92,3616900
2017-05-25,3.0,3.13,2.66,2.72,2.72,846200
2017-05-26,2.72,2.8,2.5,2.55,2.55,553300
