Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,80.0,81.25,77.5,78.300003,78.300003,333500
2017-01-04,78.900002,80.349998,78.050003,80.199997,80.199997,432600
2017-01-05,79.650002,80.25,76.449997,77.900002,77.900002,327200
2017-01-06,78.599998,78.900002,77.400002,78.050003,78.050003,296200
2017-01-09,77.25,78.050003,75.800003,77.75,77.75,344600
2017-01-10,78.199997,80.599998,77.599998,80.349998,80.349998,746200
2017-01-11,80.349998,81.699997,79.25,81.650002,81.650002,620600
2017-01-12,80.900002,80.900002,76.949997,78.550003,78.550003,537400
2017-01-13,79.050003,81.150002,79.050003,79.75,79.75,469400
2017-01-17,78.650002,78.650002,76.33000200000001,76.75,76.75,436000
2017-01-18,77.199997,78.5,76.0,78.349998,78.349998,432900
2017-01-19,78.650002,78.849998,76.400002,77.050003,77.050003,443500
2017-01-20,77.5,79.08000200000001,76.900002,77.949997,77.949997,430800
2017-01-23,77.400002,78.400002,76.0,77.449997,77.449997,305100
2017-01-24,77.449997,78.900002,76.75,77.949997,77.949997,579700
2017-01-25,78.699997,79.650002,77.800003,79.099998,79.099998,516500
2017-01-26,85.599998,89.25,82.349998,84.5,84.5,971300
2017-01-27,84.199997,84.599998,82.75,84.150002,84.150002,432600
2017-01-30,83.349998,84.400002,80.699997,82.5,82.5,444700
2017-01-31,82.050003,83.050003,81.199997,82.5,82.5,369000
2017-02-01,83.699997,85.5,82.900002,83.800003,83.800003,720200
2017-02-02,83.300003,84.199997,82.099998,83.25,83.25,414900
2017-02-03,84.449997,86.699997,84.08000200000001,86.099998,86.099998,417600
2017-02-06,85.349998,86.349998,84.599998,85.0,85.0,311500
2017-02-07,85.449997,85.849998,84.0,84.800003,84.800003,287500
2017-02-08,84.349998,85.300003,82.400002,83.300003,83.300003,380800
2017-02-09,83.800003,85.199997,83.0,84.099998,84.099998,348200
2017-02-10,85.0,85.449997,84.300003,85.099998,85.099998,329500
2017-02-13,86.150002,87.699997,86.150002,86.800003,86.800003,546500
2017-02-14,86.5,88.800003,85.900002,88.400002,88.400002,447600
2017-02-15,88.849998,89.5,87.25,87.699997,87.699997,388600
2017-02-16,87.550003,88.400002,86.550003,87.5,87.5,392600
2017-02-17,87.550003,87.980003,86.599998,87.900002,87.900002,355000
2017-02-21,88.25,89.199997,87.650002,88.300003,88.300003,293100
2017-02-22,89.050003,89.849998,88.0,89.0,89.0,423300
2017-02-23,88.900002,89.41999799999999,86.900002,89.349998,89.349998,437200
2017-02-24,87.699997,89.25,86.800003,89.050003,89.050003,377100
2017-02-27,89.300003,90.800003,88.5,90.550003,90.550003,554200
2017-02-28,89.900002,90.099998,88.800003,89.150002,89.150002,613900
2017-03-01,92.199997,93.349998,91.050003,92.150002,92.150002,535000
2017-03-02,92.550003,92.800003,88.699997,88.75,88.75,569900
2017-03-03,88.849998,90.75,88.849998,90.199997,90.199997,337100
2017-03-06,89.25,90.75,87.949997,90.300003,90.300003,451800
2017-03-07,90.25,90.650002,89.349998,89.699997,89.699997,308000
2017-03-08,90.900002,91.699997,87.849998,88.050003,88.050003,470500
2017-03-09,88.699997,89.599998,86.849998,87.25,87.25,481900
2017-03-10,87.800003,87.800003,84.900002,86.449997,86.449997,712700
2017-03-13,86.599998,89.050003,86.029999,87.199997,87.199997,476500
2017-03-14,86.199997,86.400002,84.150002,85.900002,85.900002,711300
2017-03-15,86.449997,87.75,85.199997,85.699997,85.699997,523500
2017-03-16,85.699997,87.150002,85.650002,87.0,87.0,402400
2017-03-17,86.849998,87.650002,85.300003,86.949997,86.949997,1640000
2017-03-20,86.300003,86.449997,84.400002,84.449997,84.449997,400900
2017-03-21,84.949997,84.949997,78.900002,79.150002,79.150002,881700
2017-03-22,78.050003,79.800003,76.349998,79.400002,79.400002,681600
2017-03-23,79.400002,81.599998,78.650002,79.949997,79.949997,559100
2017-03-24,80.150002,80.849998,79.25,80.25,80.25,630600
2017-03-27,79.849998,80.449997,76.209999,80.050003,80.050003,830900
2017-03-28,79.400002,82.199997,79.050003,80.75,80.75,9067900
2017-03-29,79.099998,81.199997,79.099998,80.599998,80.599998,629400
2017-03-30,80.849998,83.900002,80.849998,83.400002,83.400002,615400
2017-03-31,83.25,83.949997,82.389999,83.449997,83.449997,623700
2017-04-03,83.75,84.349998,81.050003,82.349998,82.349998,654200
2017-04-04,82.0,83.199997,81.099998,82.050003,82.050003,549500
2017-04-05,83.300003,84.300003,80.199997,80.349998,80.349998,594000
2017-04-06,81.300003,83.199997,80.5,82.949997,82.949997,944000
2017-04-07,81.699997,83.5,81.349998,82.650002,82.650002,498000
2017-04-10,82.699997,83.900002,81.25,82.300003,82.300003,357900
2017-04-11,81.849998,83.349998,81.099998,83.349998,83.349998,419500
2017-04-12,83.099998,83.5,80.800003,80.900002,80.900002,433100
2017-04-13,80.5,80.699997,77.849998,77.849998,77.849998,671700
2017-04-17,78.300003,79.599998,76.550003,79.5,79.5,730800
2017-04-18,78.900002,79.550003,76.900002,78.800003,78.800003,497000
2017-04-19,79.349998,80.400002,78.300003,78.75,78.75,828800
2017-04-20,70.75,74.349998,70.650002,73.83000200000001,73.83000200000001,2541400
