Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,13.69,13.69,13.2,13.5,13.5,10400
2017-06-27,13.4,13.44,12.15,13.2,13.2,63600
2017-06-28,13.1,13.352,13.1,13.1,13.1,7700
2017-06-29,13.15,13.429,13.1,13.2,13.2,6900
2017-06-30,13.01,13.3,13.01,13.185,13.185,2700
2017-07-03,13.11,13.3,13.11,13.3,13.3,1500
2017-07-05,13.16,13.16,13.072,13.13,13.13,10600
2017-07-06,13.0,13.5,13.0,13.33,13.33,12500
2017-07-07,13.17,13.3,13.1,13.19,13.19,42300
2017-07-10,13.34,13.34,13.101,13.2,13.2,11300
2017-07-11,13.0,13.2,13.0,13.19,13.19,6300
2017-07-12,13.05,13.25,13.05,13.16,13.16,56500
2017-07-13,13.0,13.25,13.0,13.18,13.18,18400
2017-07-14,13.16,13.2,13.15,13.17,13.17,21500
2017-07-17,13.07,13.22,13.07,13.19,13.19,29000
2017-07-18,13.04,13.268,13.04,13.175,13.175,15300
2017-07-19,13.08,13.161,13.08,13.16,13.16,23100
2017-07-20,13.1,13.2,13.1,13.19,13.19,9300
2017-07-21,13.15,13.182,12.95,13.15,13.15,59100
2017-07-24,13.04,13.19,13.0,13.19,13.19,20900
2017-07-25,13.06,13.18,13.046,13.18,13.18,21200
2017-07-26,13.02,13.14,13.02,13.14,13.14,5400
2017-07-27,13.14,13.19,13.12,13.15,13.15,11600
2017-07-28,13.14,13.19,13.13,13.19,13.19,6200
2017-07-31,13.1,13.15,13.1,13.15,13.15,4900
2017-08-01,13.1,13.19,13.1,13.15,13.15,5600
2017-08-02,13.125,13.15,13.112,13.15,13.15,3800
2017-08-03,13.15,13.2,13.111,13.2,13.2,2700
2017-08-04,13.2,13.45,13.19,13.45,13.45,11800
2017-08-07,13.3,13.3,13.15,13.3,13.3,3400
2017-08-08,13.182,13.3,13.162,13.3,13.3,7700
2017-08-09,13.21,13.45,13.15,13.34,13.34,9200
2017-08-10,13.429,13.45,13.3,13.4,13.4,15700
2017-08-11,13.377,13.59,13.377,13.4,13.4,25100
2017-08-14,13.97,14.47,13.6,14.45,14.45,36900
2017-08-15,14.5,15.0,13.58,14.75,14.75,50300
2017-08-16,14.37,14.64,13.65,13.76,13.76,19400
2017-08-17,13.72,14.439,13.2,14.3,14.3,39400
2017-08-18,14.4,14.4,13.45,13.74,13.74,61400
2017-08-21,13.65,14.56,13.65,14.32,14.32,19300
2017-08-22,14.522,15.229,14.5,15.0,15.0,28100
2017-08-23,15.43,15.52,14.27,14.94,14.94,23100
2017-08-24,14.95,15.35,14.5,15.0,15.0,21800
2017-08-25,14.64,15.776,14.0,14.82,14.82,46000
2017-08-28,15.35,15.35,14.35,14.79,14.79,6500
2017-08-29,14.66,14.98,14.3,14.97,14.97,17700
2017-08-30,14.475,15.17,14.475,14.88,14.88,39200
2017-08-31,15.0,15.0,14.04,14.25,14.25,32300
2017-09-01,14.35,14.877,14.26,14.48,14.48,12400
2017-09-05,14.44,16.0,14.275,14.4,14.4,33500
2017-09-06,14.46,15.16,14.35,15.04,15.04,45700
2017-09-07,14.92,15.13,14.26,14.85,14.85,69100
2017-09-08,14.89,14.95,14.56,14.73,14.73,65800
2017-09-11,15.01,16.4,14.575,15.85,15.85,49700
2017-09-12,15.28,16.568001000000002,15.25,16.1,16.1,43600
2017-09-13,15.93,16.98,15.93,16.190001000000002,16.190001000000002,65000
2017-09-14,16.219998999999998,18.6,16.219998999999998,17.23,17.23,68200
2017-09-15,17.204,17.909,15.21,15.34,15.34,98300
2017-09-18,15.56,16.948,15.54,15.56,15.56,33800
2017-09-19,15.91,16.73,15.27,15.72,15.72,26700
2017-09-20,15.78,18.497999,15.51,16.01,16.01,15000
2017-09-21,16.030001000000002,16.5,16.030001000000002,16.360001,16.360001,2900
2017-09-22,16.33,16.799999,16.02,16.209999,16.209999,5100
2017-09-25,16.219998999999998,16.898001,15.45,15.45,15.45,17200
2017-09-26,15.755,15.995,15.4,15.55,15.55,17300
2017-09-27,16.0,16.621,15.5,15.78,15.78,6600
2017-09-28,15.51,16.6,15.51,15.52,15.52,55600
2017-09-29,15.74,16.200001,15.5,15.5,15.5,6644
